#;status_id;screen_name;created_at;text;location;lang;hashtag;servicio;FALLA
184;1,48E+18;RadioHuancavilk;28/12/2021 14:38;Cumplir con las metas de una planificación estratégica, que contempla soluciones integrales en los sistemas de agua potable, alcantarillado sanitario y pluvial, para la sostenibilidad de los servicios, es lo que ha motivado estos nueve años de trabajo continuo de @emapagye . https://t.co/7JfReux6UF;Guayaquil - Ecuador;es;agua potable;Agua;No
185;1,47E+18;RadioHuancavilk;24/12/2021 15:07;El Ministerio del Ambiente, Agua y Transición Ecológica, representada por Ing. Isabel Tamaríz, procedió el día de hoy a entregar a la Empresa Municipal de Agua Potable y Alcantarillado de Guayaquil, @emapagye, representada por la Ing. Martha Orta, https://t.co/FXeZDWG0KK;Guayaquil - Ecuador;es;agua potable;Agua;No
186;1,47E+18;RadioHuancavilk;24/12/2021 15:07;El proyecto comprende  la ampliación de la dotación de agua potable a través de redes de distribución e instalación de sistemas Booster, que permitirá mantener las presiones óptimas del sistema de abastecimiento, específicamente en los puntos más alejados.;Guayaquil - Ecuador;es;agua potable;Agua;No
187;1,47E+18;RadioHuancavilk;24/12/2021 15:07;la “Viabilidad a los Estudios y Diseños del punto de conexión de Agua Potable para programa habitacional de Lotes Municipales y redes de abastecimiento para Cooperativas Realidad de Dios, Cantón Guayaquil, Provincia del Guayas, que beneficia a aproximadamente 15.000 habitantes. https://t.co/qhDcNopnx8;Guayaquil - Ecuador;es;agua potable;Agua;No
188;1,48E+18;RadioHuancavilk;30/12/2021 14:02;Personal de @emapagye realizó como parte de su plan estratégico anual, la supervisión en sitio del proceso de facturación que realiza la operadora @Interagua en la parroquia rural Puná. Asimismo, se receptaron requerimientos de los usuarios y se socializó el rol de EMAPAG EP https://t.co/FLVD67AZlI;Guayaquil - Ecuador;es;Interagua;Agua;No
189;1,48E+18;RadioHuancavilk;27/12/2021 16:56;y Américo Vespucio 1, ubicadas en Isla Trinitaria, beneficiando a 48.489 habitantes de estos sectores, que serán atendidos con la reconstrucción de sus calles y la expansión de los sistemas hidrosanitarios de agua potable y alcantarillado.;Guayaquil - Ecuador;es;agua potable;Agua;No
190;1,48E+18;Rocio_lema9;30/12/2021 8:03;@interagua Buenos días mi número es  0991972165;;es;Interagua;Agua;No
191;1,48E+18;Rocio_lema9;27/12/2021 20:11;"@interagua Por favor avisen cuando si se de el corte de agua ME ABASTEZCO POR GUSTO Y NADA pero cuando no me ABASTEZCO ahí si se va el agua.
Falta de consideración al usuario";;es;corte de agua;Agua;Si
192;1,48E+18;rsaona;30/12/2021 20:18;@velnova @interagua @DEFENSORIAEC @ecuavisa Solo en Narnia!!!!;Guayaquil - Ecuador ;es;Interagua;Agua;No
193;1,47E+18;sfnutriec2881;24/12/2021 21:35;@AmaguaCEM Solo deseo q este año que viene Papa Noel <U+0001F385>  ya no les des más excusas para dejarnos sin agua cada semana por días enteros...dale @AmaguaCEM menos excusas y más diligencia muchas felices navidades;Ecuador, Guayaquil;es;sin agua;Agua;Si
194;1,47E+18;sm_sixto;23/12/2021 12:17;@interagua @alcaldiagye  @CynthiaViteri6  por favor ayuda , desde el día de ayer sin agua .. AYUDAAAAAAA;Ecuador, Guayaquil;es;sin agua;Agua;Si
195;1,47E+18;soleramireza;22/12/2021 3:27;"No progresamos porque no queremos.
Fui a Playas via Data y alquilamos una carpa, pedimos unos piqueos  a un comedor x allí,también les presté el baño. Un baño del siglo pasado. Sin agua, luz, de cemento, de a balde. Hilo...";Guayaquil-Ecuador;es;sin agua;Agua;Si
196;1,47E+18;tamp64;23/12/2021 18:29;@interagua @alcaldiagye se necesita con urgencia el camión que destapa el sistema de alcantarillado de los pozos séptico de los desechos de aguas servidas por favor les dejo una imagen....... Gracias https://t.co/vEFxybxnE6;guayaquil-ecuador;es;aguas servidas;Agua;Si
197;1,47E+18;tamp64;26/12/2021 1:21;@interagua Hoy no vinieron cuando van a venir ustedes saben lo que es no poder ir al baño no poderse bañar estar rodeado de las heces y el olor esto es algo fastidioso que puedan mandar un puto hydro cleaner a que absorba toda la mierda de la puta caja de aguas servidas.....;guayaquil-ecuador;es;aguas servidas;Agua;Si
198;1,47E+18;tamp64;23/12/2021 15:38;@interagua señores de interagua por favor gestionar que venga el camión par la limpieza de las cajas de aguas servidas, todos los desechos se me están desbordando en el patio de mi domicilio por favor tengo niños pequeños;guayaquil-ecuador;es;aguas servidas;Agua;Si
199;1,47E+18;tatiska55m;24/12/2021 17:44;Sres @interagua que paso? Nos dejaron sin agua en coop. Juan montalvo. No dijeron q aqui estaria afectado. Por favor restablecer el servicio..;;es;sin agua;Agua;Si
200;1,48E+18;Tavra80;29/12/2021 3:29;@interagua Buenas noches se acaba de ir el servicio en Mapasingue Este, cooperativa La Esperanza, a qué se debe?;Guayaquil, Ecuador;es;Interagua;Agua;Si
201;1,47E+18;Unionradio580am;23/12/2021 16:54;#ATENCIÓN|| Adriana Valarezo, jefa de proyectos de redes de aguas servidas y aguas lluvias de Interagua informó sobre el trabajo ejecutado e indicó que la ciudad ha sido divida de acuerdo a los puntos más críticos donde se ejecutan prontas acciones. https://t.co/wHNwx7wrXg;Guayaquil, Ecuador;es;aguas servidas;Agua;No
202;1,47E+18;Unionradio580am;22/12/2021 17:23;#EMAPAGINFORMA|| El Ministerio del Ambiente, Agua y Transición Ecológica, representada por Ing. Isabel Tamaríz, procedió el día de hoy a entregar a la Empresa Municipal de Agua Potable y Alcantarillado de Guayaquil, EMAPAG EP, representada por la Ing. Martha Orta https://t.co/CiZZS3IyVM;Guayaquil, Ecuador;es;agua potable;Agua;No
203;1,48E+18;Unionradio580am;29/12/2021 21:49;#EMAPAGINFORMA|| Personal de @emapagye realizó como parte de su plan estratégico anual, la supervisión en sitio del proceso de facturación que realiza la operadora @Interagua en la parroquia rural Puná. https://t.co/83Rh7XcjJg;Guayaquil, Ecuador;es;Interagua;Agua;No
204;1,47E+18;Unionradio580am;23/12/2021 13:07;#EMAPAGINFORMA||Mientras duran los trabajos efectuados por la operadora @Interagua, que tienen como objetivo mejorar la calidad del servicio de agua potable en la ciudad, @emapagye supervisa el abastecimiento alternativo a hospitales y centros asistenciales a través de tanqueros. https://t.co/9WxDpWO09C;Guayaquil, Ecuador;es;agua potable;Agua;No
205;1,47E+18;Unionradio580am;22/12/2021 17:23;la “Viabilidad a los Estudios y Diseños del punto de conexión de Agua Potable para programa habitacional de Lotes Municipales y redes de abastecimiento para Cooperativas Realidad de Dios, Cantón Guayaquil, Provincia del Guayas, que beneficia a aproximadamente 15.000 habitantes.;Guayaquil, Ecuador;es;agua potable;Agua;No
206;1,48E+18;victor42195;29/12/2021 22:07;@jefevergara @DiegoArcos14 @interagua @DEFENSORIAEC @JonathanPalmaL una joyita más para tu investigación;Guayaquil;es;Interagua;Agua;Si
207;1,47E+18;Vidasanaecuador;25/12/2021 15:39;El agua no es solo h2o viene con aceites, residuos de plástico, tóxicos, coliformes fecales. La calidad el agua potable es terrible. Se imaginan a India bueno así está todo el planeta ya hay pocos países que se salvan porque tenemos océanos enteros de basura de todo tipo.;Guayaquil - Ecuador;es;agua potable;Agua;Si
208;1,47E+18;willyfer33;24/12/2021 6:09;Prefecto @JDanielVillao en ancón están cobrando 150 dólares por hacer la caja de aguas servidas es legal eso, por favor confirme https://t.co/8wptccP1P5 https://t.co/ykavhjAqYx;Ecuador-Guayaquil;es;aguas servidas;Agua;Si
209;1,47E+18;willyfer33;22/12/2021 1:32;Señor prefecto @JDanielVillao me están 150 dólares los contratistas por poner la caja de aguas servidas es eso legal , es en ancón barrio velazco https://t.co/vCntY4S0by;Ecuador-Guayaquil;es;aguas servidas;Agua;Si
210;1,48E+18;WRSN_16;30/12/2021 22:12;Siempre que tomo precauciones, nunca se va el agua… pero no leo nada!! Y llego a bañarme y no hay agua <U+0001F605><U+0001F613><U+0001F923> https://t.co/FlJHPPTHLc;Guayaquil, Ecuador;es;Interagua;Agua;Si
211;1,47E+18;xavierM6;24/12/2021 0:38;@interagua @OrralaPaul Aun sin agua 25 y el oro;Guayaquil, Ecuador;es;sin agua;Agua;Si
212;1,47E+18;xavierM6;24/12/2021 1:05;@interagua Terminaron los trabajos desde las 7-20 am.. ya pasaron 12 horas aun sin agua en este sector del sur oeste.;Guayaquil, Ecuador;es;sin agua;Agua;Si
213;1,48E+18;xavy_castro;30/12/2021 20:52;Nueva fuga de agua en Pascuales diagonal a Agricominsa e Indura. @interagua @alcaldiagye https://t.co/btwVQxTv7x;;es;Interagua;Agua;Si
214;1,48E+18;_adpa_;1/1/2022 5:19;Solo en Gye empiezas un año sin luz jaja;Guayaquil, Ecuador;es;sin luz;Energia_electrica;Si
215;1,48E+18;aditacollaguazo;5/1/2022 9:29;@CNEL_EP Urgente se solicita revisión en el sector de la Atarazana Mz C4 porque desde las 04h00 am hay múltiples interrupciones del suministro de energía eléctrica. ¡Esto podría causar averías en los electrodomésticos!. https://t.co/PY5W2oNLYu;Guayaquil, Ecuador;es;Cnel;Energia_electrica;Si
216;1,48E+18;adolfolivares;5/1/2022 19:38;"Señores @CNEL_EP hasta que hora debo esperar a que me reconecten mi luz? Más de 24 horas luego del pago de mi planilla y sigo sin luz y encima me mandan a juntarme con 500 personas para servicio al cliente para supuestamente darme ""solución"" y las llamadas tampoco contestan";Ecuador;es;Cnel;Energia_electrica;Si
217;1,48E+18;AdolfoRobalino;5/1/2022 20:20;"@servicioscnelep Sres., como jubilado de https://t.co/SbuzdyLxO2.ahora Cnel Ep he solicitado a talento humano por algunas ocasiones mi rol de jubilado sin tener respuesta; ingresé a su página Web y no obtengo 2 cuadros el cuadro con detalle de mis ingresos.";;es;Cnel;Energia_electrica;Si
218;1,48E+18;AdolfoRobalino;5/1/2022 20:10;"@servicioscnelep Sres., como jubilado de https://t.co/SbuzdyLxO2.ahora Cnel Ep he solicitado por algunas ocasiones mi rol de jubilado sin tener respuesta; ahora ingresé a su página Web y sólo obtengo 2 cuadros con errores y sin el detalle de mis ingresos de jubilación.";;es;Cnel;Energia_electrica;Si
219;1,48E+18;Adu_arte;5/1/2022 9:25;@KlverB @servicioscnelep En efecto, y las variaciones de voltaje a esta hora estaban siendo constantes. En la Atarazana sin suministro eléctrico al momento. @CNEL_EP @servicioscnelep;Guayaquil, Ecuador;es;Cnel;Energia_electrica;No
220;1,48E+18;AndreaECalderon;29/12/2021 11:23;@CNEL_EP sin luz en urbanización Matices frente el Riocentro El Dorado desde las 5 am;Guayaquil, Ecuador;es;sin luz;Energia_electrica;Si
221;1,48E+18;Andreitacabello;1/1/2022 5:24;@CNEL_EP por favor seguimos sin luz!!!! Hagan algo urgente!!!!! @teleamazonasec @EcuavisaInforma @dayannamonroy @luisantonio_r https://t.co/DglDvZlM15;Guayaquil;es;sin luz;Energia_electrica;Si
222;1,48E+18;Andreitacabello;1/1/2022 4:22;@CNEL_EP para variar hoy último día del 2021 y nos dejan sin luz en sector de la alborada 8va etapa! 1 hora llamando para que solucionen y nada! Tengan la bondad de solucionar!!! Cc @EcuavisaInforma @LassoGuillermo @teleamazonasec @dayannamonroy;Guayaquil;es;sin luz;Energia_electrica;Si
223;1,48E+18;Andresbicampeon;3/1/2022 21:57;@ilustradasCSE @betom80 @JuanCCastro69 Nunca olvidaremos eso baños q parecian verdaderas letrinas , q eran llenos de agua y sin luz . Los muchachos de ahora no saben lo q era eso hasta q llego Neme e hizo un cambio total;Guayaquil -Ecuador;es;sin luz;Energia_electrica;Si
224;1,48E+18;angeloparedesm;1/1/2022 2:11;@CNEL_EP tenemos 4 horas sin luz en el sur de la ciudad, reclamos no contestan llamadas su ayuda!!;Guayaquil;es;sin luz;Energia_electrica;Si
225;1,48E+18;angeloparedesm;1/1/2022 0:06;@servicioscnelep tenemos 4 horas sin luz por un desperfecto de transformador, nadie contesta ni nos ayuda;Guayaquil;es;sin luz;Energia_electrica;Si
226;1,48E+18;anotavanegas;31/12/2021 13:26;@servicioscnelep buenos días, la 7ma etapa de la Alborada está sin luz desde hace más de 1 hora;Guayaquil;es;sin luz;Energia_electrica;Si
227;1,48E+18;arlosMarzo;4/1/2022 13:50;Ya más de tres meses y no hace nada @CNEL_EP ni la @alcaldiagye  sobre este poste.  Que esperan un accidente?;Guayaquil;es;Cnel;Energia_electrica;Si
228;1,48E+18;artepanEcuador;5/1/2022 20:14;@CNEL_EP No tenemos servicio eléctrico desde la mañana . 31 y Maldonado. Atención urgente.  31 y Maldonado;Guayaquil, Ecuador;es;Cnel;Energia_electrica;Si
229;1,48E+18;Bruce_Rambo;4/1/2022 22:38;Apagón general en país asiático Khasastan ! Así comienza el año 2022 https://t.co/Pofwonn278;Guayaquil;es;apagon;Energia_electrica;Si
230;1,48E+18;Byron_Narea;5/1/2022 19:46;@CNEL_EP desde hoy 09h30 estamos sin luz la empresa vino a arreglar un daño y dejó sin luz a otros usuarios.. tenemos personas de tercera edad enfermas por ende se necesita luz y no viene a solucionar el problema mi trámite es 11461683;Guayaquil - Ecuador;es;Cnel;Energia_electrica;Si
231;1,48E+18;Byron_Narea;5/1/2022 19:46;@CNEL_EP desde hoy 09h30 estamos sin luz la empresa vino a arreglar un daño y dejó sin luz a otros usuarios.. tenemos personas de tercera edad enfermas por ende se necesita luz y no viene a solucionar el problema mi trámite es 11461683;Guayaquil - Ecuador;es;sin luz;Energia_electrica;Si
232;1,48E+18;byronqm;4/1/2022 12:56;Sres @servicioscnelep cdlaa Atarazana en Guayaquil, sector Solca, sin luz desde hace 30 minutos, se escuchó una explosión;Guayaquil;es;sin luz;Energia_electrica;Si
233;1,48E+18;Carlost35484103;31/12/2021 13:10;@servicioscnelep hay alguna manera que agilicen este arreglo estoy sin luz porque ese medidor no deja de hacer cortocircuito... https://t.co/qW17phEEXI;Guayaquil, Ecuador;es;sin luz;Energia_electrica;Si
234;1,48E+18;christiangabino;5/1/2022 17:02;@servicioscnelep @CNEL_EP @CynthiaViteri6 x favor su ayuda tenemos casi 3 horas sin energía eléctrica en el sector de la Pastor Vera Luchadores del norte pájaro azul todo esos sectores los niños no pueden tener clases x favor ayúdenos estamos puntuales en todo solucionen ya;Guayaquil, Ecuador;es;Cnel;Energia_electrica;Si
235;1,48E+18;CiudadanoComunx;1/1/2022 5:26;"Se fué la energía eléctrica en el Sur de Guayaquil  justo a las 00:00 del año 2022.
De la desgracia lo positivo, se vió espectacular la quema de viejos sin luz.";GUAYAQUIL _ ECUADOR;es;sin luz;Energia_electrica;Si
236;1,48E+18;Cupsfire_gye;1/1/2022 5:44;"<U+0001F4A1> Corte de energía en Monte Sinaí, Coop. Ebenezer, norte de #Guayaquil. 

@CNEL_EP @servicioscnelep https://t.co/bvpFm4LDnY";Guayaquil, Ecuador;es;corte de energia;Energia_electrica;No
237;1,48E+18;darwinkpp;3/1/2022 19:49;@servicioscnelep @CNEL_EP  buen día. Enserio están cortando la energía con solo 1 mes de deuda ? #Guayaquil #cnel #Ecuador;Guayaquil;es;Cnel;Energia_electrica;Si
238;1,48E+18;davecitop;1/1/2022 15:03;Por favor atender @paultutiven @ecuavisa @teleamazonasec @CNEL_EP @tctelevision @MauricioAyoraTC en el sector de sauces 4 manzana 370 tenemos más de 12 horas sin luz y en @CNEL_EP dicen que por feriado tenemos que esperar, ayúdenos por favor !! https://t.co/YXo6bgw0Jj;Guayaquil;es;sin luz;Energia_electrica;Si
239;1,48E+18;debocachiquita;1/1/2022 5:32;"#apagon en la Febres Cordero, Guayaquil, en pleno 31 dic en la quema del viejo.
Se fue por 20mins y estaba el personal bastante molesto, me incluyo. No por el baile, porque duermo con ventilador como buena pobre que soy y con toldo. 
Afortunadamente, se restableció después.";Guayaquil, Ecuador;es;apagon;Energia_electrica;Si
240;1,48E+18;diosav79;2/1/2022 14:12;@servicioscnelep Son las 9:11 sigo sin luz y nadie de CNEL EP se ha acercado al condominio;Guayaquil;es;sin luz;Energia_electrica;Si
241;1,48E+18;diphanie_ec;1/1/2022 5:12;Feliz año y apagón nuevo <U+0001F923>;Guayaquil, Ecuador;es;apagon;Energia_electrica;Si
242;1,48E+18;erika_lisseette;4/1/2022 15:12;@servicioscnelep El número de reporte 11457575 es reporte lo volvieron a generar aunque ayer supuestamente ya estaba hecho pero hoy volvieron a generar, por favor no se puede estar sin luz;Guayaquil, Ecuador;es;sin luz;Energia_electrica;Si
243;1,48E+18;Expresoec;5/1/2022 21:20;Los residentes y comerciantes de la avenida Los Daulis, del cantón Daule, ya no saben a qué autoridad acudir. Durante casi dos años han solicitado a CNEL y a la Alcaldía que les coloquen más postes de alumbrado público. https://t.co/GzwWXiiEO4;Guayaquil;es;Cnel;Energia_electrica;Si
244;1,48E+18;Flachis20;31/12/2021 1:44;@CNEL_EP señores estamos sin luz por favor ayudarnos urgente;Ecuador-Guayaquil;es;sin luz;Energia_electrica;Si
245;1,48E+18;franciscoalava2;1/1/2022 5:18;Uno de enero del 2022 sin Luz en el suburbio https://t.co/ZNQtakI2tM;Guayaquil, Ecuador;es;sin luz;Energia_electrica;Si
246;1,48E+18;franklinanibalr;4/1/2022 12:25;"@CNEL_EP no hay energía en la Cdla. Atarazana.
Favor reparar.";Ecuador;es;Cnel;Energia_electrica;Si
247;1,48E+18;franklinanibalr;4/1/2022 12:25;"@CNEL_EP no hay energía en la Cdla. Atarazana.
Favor reparar.";Ecuador;es;no hay energia;Energia_electrica;Si
248;1,48E+18;frebar80;2/1/2022 19:22;@alcaldiabbhy Algun numwro de la empresa electrica de babahoyo ..no hay luz en la zona de rocafuerte y general barahona;guayaquil;es;no hay luz;Energia_electrica;Si
249;1,48E+18;GaloMerinoM;29/12/2021 17:09;@CNEL_EP Estimados, es toda la población sin luz.;Guayaquil;es;sin luz;Energia_electrica;Si
250;1,48E+18;GaloMerinoM;29/12/2021 16:39;@CNEL_EP sin luz en san jacinto de colimes desde temprano en la mañana, que pasó?;Guayaquil;es;sin luz;Energia_electrica;Si
251;1,48E+18;gremiobelleza;4/1/2022 13:32;"@CNEL_EP Buenos días estimados, no tenemos luz desde temprano en la Atarazana Mz. Q2  Q4, solo se escucho una explosión. Por favor, ! Darle el trámite a nuestro requerimiento. 
Saludos,";Guayaquil Ecuador;es;Cnel;Energia_electrica;Si
252;1,48E+18;iHernan_Garces;28/12/2021 16:50;@servicioscnelep explotó un transformador en la parte alta de bellavista y no hay energía eléctrica al momento;Guayaquil,ecuador ;es;no hay energia;Energia_electrica;SI
253;1,48E+18;jacklyn26941646;5/1/2022 22:52;@servicioscnelep Señores CNEL aún no se restituye el servicio de luz en Ballenita calle Rosales y Ave 6ta, por favor su inmediata intervención, tenemos 4 horas sin luz.;Guayaquil, Ecuador;es;Cnel;Energia_electrica;Si
254;1,48E+18;jacklyn26941646;5/1/2022 22:52;@servicioscnelep Señores CNEL aún no se restituye el servicio de luz en Ballenita calle Rosales y Ave 6ta, por favor su inmediata intervención, tenemos 4 horas sin luz.;Guayaquil, Ecuador;es;sin luz;Energia_electrica;Si
255;1,48E+18;jacklyn26941646;5/1/2022 22:50;@servicioscnelep estimados tenemos 5 horas sin luz en la Cdla Las Brisas en Ballenita - calle Rosales y Ave 6ta- x favor su inmediata intervención;Guayaquil, Ecuador;es;sin luz;Energia_electrica;Si
256;1,48E+18;JohnFerruzola_;1/1/2022 5:24;No llevamos ni media hora del 2022 y ya tenemos 3 incendios y un apagón en medio suburbio. https://t.co/3McDQ7rHBE;Guayaquil, Ecuador;es;apagon;Energia_electrica;Si
257;1,48E+18;Jose_Luis_Moina;5/1/2022 20:13;Estimados @CNEL_EP @servicioscnelep me pueden ayudar por favor con un requerimiento?;Guayaquil, Ecuador;es;Cnel;Energia_electrica;Si
258;1,48E+18;josepenafiel202;5/1/2022 19:33;@servicioscnelep @CNEL_EP poste a punto de caer se encuentra sostenido con las redes de energía más nada en la cdla huancavilca mz d32 sl2 https://t.co/wIZc3NnjfW;Guayaquil, Ecuador;es;Cnel;Energia_electrica;Si
259;1,48E+18;kalunumibsc;3/1/2022 19:25;@servicioscnelep km 8.5 vía a Daule, sin luz hace 1 hora y no Dan respuesta alguna;Guayaquil, Ecuador;es;sin luz;Energia_electrica;Si
260;1,48E+18;kalunumibsc;3/1/2022 19:03;@servicioscnelep estamos sin luz en el km 8.5 explotó el transformador...por favor urgente...;Guayaquil, Ecuador;es;sin luz;Energia_electrica;Si
261;1,48E+18;KarlisCaleb;29/12/2021 17:55;@servicioscnelep señores casi 48 horas sin luz y uds no me dan solucion al caso @tctelevision  @RTSEcuador @ecuavisa  ayuda;Guayaquil- ecuador;es;sin luz;Energia_electrica;Si
262;1,48E+18;KarlisCaleb;29/12/2021 2:28;@servicioscnelep sres tengo mas de 24 horas sin luz y vienen carros a disque a resolverme el inconveniente y dicen que ellos no son de ese servicio, disculpe pero a que jugamos;Guayaquil- ecuador;es;sin luz;Energia_electrica;Si
263;1,48E+18;kenoestefanon_;4/1/2022 1:00;Jajaja esto parece al fraude del 2017 y el famoso apagón dónde ganó Lerdin<U+0001F923> https://t.co/GZ6Zz3k2Az;Guayaquil - Ecuador;es;apagon;Energia_electrica;Si
264;1,48E+18;kerodrig;1/1/2022 5:09;#Suburbio sin luz !!! @servicioscnelep pilas;Guayaquil-Ecuador;es;sin luz;Energia_electrica;Si
265;1,48E+18;kevincristoBsc;1/1/2022 5:05;Nos dejan sin Luz hijos de putas....;Guayaquil, Ecuador;es;sin luz;Energia_electrica;Si
266;1,48E+18;LeonardoBravo90;5/1/2022 17:18;Buenas Tardes Sres. @servicioscnelep @CNEL_EP @LassoGuillermo sin servicio eléctrico en la Juan montalvo desde hace 1 hora;Guayaquil, Ecuador;es;Cnel;Energia_electrica;Si
267;1,48E+18;lilibeth1305;5/1/2022 18:06;@CNEL_EP ya se restableció el servicio gracias;Guayaquil - Ecuador;es;Cnel;Energia_electrica;No
268;1,48E+18;lilibeth1305;5/1/2022 17:05;@servicioscnelep @CNEL_EP #SectorPeca, Parque California 2 sin energía hace unos 10 min... cual es el inconveniente?;Guayaquil - Ecuador;es;Cnel;Energia_electrica;Si
269;1,48E+18;LiNKaN88;30/12/2021 19:15;@CNEL_EP Estamos sin luz desde aproximadamente las 13pm, sector progreso para el suburbio;Guayaquil, Ecuador;es;sin luz;Energia_electrica;Si
270;1,48E+18;lmivill84;3/1/2022 2:44;"@demaquilon @FaustoJarrinT Hasta el Lelo reconoció que perdió las elecciones limpiamente,pero ustedes los giles correitas no tienen memoria cuando en 2017 hicieron fraude con el apagón informático con ayuda de Pozo e hicieron ganar a Lenin 
Correismo = Corrupción";Guayaquil, Ecuador;es;apagon;Energia_electrica;Si
271;1,48E+18;LomasBosquegye;3/1/2022 16:18;"Cortes de energía eléctrica el 31, 1 y 2 de enero. Hoy, 3 de enero, hemos tenido 3 apagones y se restablece a modo de ""ráfaga"" ¿Qué está pasando? @CNEL_EP @servicioscnelep ¿Ya nos pasaron a Cnel Guayaquil?";Guayaquil, Ecuador;es;Cnel;Energia_electrica;Si
272;1,48E+18;LoreGanchozo;1/1/2022 13:27;@CNEL_EP Buenos dias @CNEL_EP estamos sin Luz... a que número me comunico para notificar el inconveniente?;Guayaquil-Ecuador ;es;sin luz;Energia_electrica;Si
273;1,48E+18;LUCIAJIMENEZMO1;1/1/2022 5:14;Y con este apagón les deseo feliz año <U+2764><U+FE0F>;Guayaquil, Ecuador;es;apagon;Energia_electrica;Si
274;1,48E+18;LuisAlbertoAndr;5/1/2022 2:51;"""No hay luz.""

*Klever procede a agarrar el Air Fryer*";Guayaquil, Ecuador;es;no hay luz;Energia_electrica;No
275;1,48E+18;machuchin_;1/1/2022 13:50;"Primera vez en mi vida que me coge un fin de año sin luz y desnudo..

Será un buen presagio ??";Guayaquil, Ecuador;es;sin luz;Energia_electrica;No
276;1,48E+18;malenaprensa;1/1/2022 5:08;Apagón en Guayaquil. Quema de viejos a oscuras. https://t.co/oGrToQWI7J;Guayaquil, Ecuador;es;apagon;Energia_electrica;Si
277;1,48E+18;manmunoz74;2/1/2022 20:14;"En Buenos Aires-Argentina; Fin de año sin luz: hay más de 40 mil usuarios sin suministro - Infobae https://t.co/SaNVkpwRvt";guayaquil-ecuador;es;sin luz;Energia_electrica;Si
278;1,48E+18;MarielaAguirreC;1/1/2022 15:44;@CNEL_EP Seguimos sin luz desde las 4am!! Por favor ya arreglen rápido;Guayaquil - ECUADOR;es;sin luz;Energia_electrica;Si
279;1,48E+18;MarielaAguirreC;1/1/2022 13:53;@CNEL_EP estamos desde las 4 a.m. sin luz en Vereda del Río, km 9 vía a Sambo, a que hora arreglan?;Guayaquil - ECUADOR;es;sin luz;Energia_electrica;Si
280;1,48E+18;mArKrenton80;2/1/2022 0:22;"@Ana_Ma_Marquez @LassoGuillermo @MashiRafael No solo yo, sino millones de ecuatorianos que votamos por @LassoGuillermo presidente electo sin apagón ni fraude. Así que lo afirmo, reafirmó y confirmo <U+0001F40F> 
Pronto el prófugo Mameluco @MashiRafael ira ante la justicia. https://t.co/Abs7CtRIts";Guayaquil, Ecuador;es;apagon;Energia_electrica;Si
281;1,48E+18;megaman_677;1/1/2022 5:12;Año nuevo sin luz acá en La Chala;Guayaquil - Ecuador;es;sin luz;Energia_electrica;Si
282;1,48E+18;milmarcev;5/1/2022 22:45;@yosoyliborio @PartidoPCC Dedicados a conservar el poder del cual lucran los Castro los militares el Partido Comunista y los esbirros chivatos. El pueblo no importa sin alimento sin agua sín luz.;Guayaquil Ecuador;es;sin luz;Energia_electrica;Si
283;1,48E+18;milmarcev;5/1/2022 16:41;@BrunoRguezP @PresidenciaCuba @CubaMINREX @MinturCuba Los beneficios del turismo se utiliza para engordar los bolsillos de los Castro de los militares y el Partido Comunista el pueblo sin alimentos sin luz sin agua.;Guayaquil Ecuador;es;sin luz;Energia_electrica;Si
284;1,48E+18;milmarcev;4/1/2022 21:02;@LamelasOrtiz Manga de funcionarios bien comidos mientras el pueblo cubano hace cola por un pollo importado de los EEUU.sin hospitales sin luz y sin agua.;Guayaquil Ecuador;es;sin luz;Energia_electrica;Si
285;1,48E+18;MissChama_;1/1/2022 5:21;Y así, sin luz, recibimos el 2022. Mmmm esperemos que no sea mal augurio;Guayaquil;es;sin luz;Energia_electrica;Si
286;1,48E+18;mixel_baby;2/1/2022 15:06;No superó que Jost nos hizo apagón <U+0001F97A>;Guayaquil, Ecuador;es;apagon;Energia_electrica;Si
287;1,48E+18;monicrocio;5/1/2022 22:50;@CNEL_EP. Quisiera saber si uds están mandando esos correos ya que cuando me llega la fact viene con mis datos y en ese correo no tiene datos mios y pide q ingrese para llenar datos por favor ayudemme con la información solicitada graciaa https://t.co/2NJHPqRDpe;guayaquil -ecuador;es;Cnel;Energia_electrica;Si
288;1,48E+18;MorenoFalconi;5/1/2022 3:05;@CNEL_EP sector Pedro Moncayo y Colón sin energía eléctrica;Guayaquil, Ecuador;es;Cnel;Energia_electrica;Si
289;1,48E+18;MVeraMike;4/1/2022 4:25;@CNEL_EP El alumbrado público no a sido atendido la novedad se mantiene el sector esta a oscuras por favor me estan cobrando un servicio que no me estan dando  por favor pronta solucion ya este requerimiento fue solicitado hace semanas Trámite # 11436377 @Denuncias_ecu https://t.co/PUaXPSskbp;Guayaquil, Ecuador;es;Cnel;Energia_electrica;Si
290;1,48E+18;oswaldopenacab;29/12/2021 22:35;El CM de liga sigue chistosito hoy en el aniversario de la vuelta del ídolo sin luz en casa blanca;Guayaquil, Ecuador;es;sin luz;Energia_electrica;Si
291;1,48E+18;oswaldopenacab;29/12/2021 22:15;Igual se dio la vuelta sin luz, no fueron buenos perdedores los amigos que apagaron la luz https://t.co/b4M8LLwCRb;Guayaquil, Ecuador;es;sin luz;Energia_electrica;Si
